Professor,Average_grade,Ratings,Difficulty,Num_reviews
Chang,4.0,4.5,2.0,29
Moghimi,4.0,5.0,2.0,6
van Es,4.0000001192092896,3.9,2.8,82
Riley,3.324999988079071,5.0,3.0,12
Van Es,4.0000001192092896,3.9,2.8,82
Alexander,3.574999988079071,3.9,3.3,31
MacMahon,3.299999952316284,4.5,3.4,44
Kourkoutis,3.299999952316284,4.8,3.5,7
Wickham,3.299999952316284,3.2,3.6,20
Fuchs,3.75,4.7,2.1,60
Wise,3.299999952316284,4.4,4.0,10
Kriner,3.299999952316284,3.9,3.4,18
Stacey,3.299999952316284,4.0,3.6,13
Nicholson,3.6800000190734865,4.8,2.8,27
Goldfarb,3.299999952316284,1.3,4.9,10
March,3.649999976158142,2.7,3.3,10
Howarth,3.149999976158142,3.9,2.4,12
Campbell,3.299999952316284,4.1,4.3,31
Huffaker,3.299999952316284,3.5,3.9,36
Tumbar,3.299999952316284,4.4,3.2,13
Fromme,3.299999952316284,4.5,3.1,9
Liu,3.649999976158142,4.3,3.1,12
Blake,3.149999976158142,4.4,3.3,6
Blankenship,3.649999976158142,4.1,3.6,44
Winans,3.299999952316284,4.0,3.1,20
Scheinberg,3.299999952316284,3.3,3.4,8
Doerschuk,3.299999952316284,2.7,3.5,15
Saikia,3.299999952316284,3.9,3.4,8
Entner,3.5,2.4,2.8,51
Giles,3.299999952316284,3.5,4.7,11
Lorey,3.224999964237213,5.0,3.9,9
Davis,3.614285707473755,4.0,3.2,43
Kinsland,3.074999988079071,3.1,4.0,27
Lin,3.299999952316284,4.3,2.5,15
Milner,3.299999952316284,3.5,3.8,62
Ezra,3.299999952316284,3.0,4.8,9
Wilson,3.299999952316284,4.1,3.6,9
Varner,4.0,4.1,2.6,9
Duncan,3.0,4.4,4.0,56
Schuldt,3.299999952316284,4.5,3.0,6
Schmidt,3.299999952316284,2.7,3.4,47
Sen,3.5666666825612388,2.8,3.1,25
White,3.574999988079071,4.6,3.3,117
Schalekamp,3.399999976158142,5.0,2.8,16
van Zuylen,3.2399999618530275,4.0,4.3,16
Clarkson,3.375,5.0,4.0,33
Foster,3.4333333174387612,4.5,4.0,20
Hsu,3.299999952316284,3.3,3.4,52
Bracy,3.299999952316284,3.5,4.0,58
Alvisi,3.149999976158142,2.5,4.5,29
Birman,3.649999976158142,3.4,3.1,36
Hirsh,3.299999952316284,3.1,2.5,13
Selman,3.649999976158142,2.4,2.8,19
van Schijndel,3.5,3.8,4.3,5
Lee,3.1799999713897704,3.4,3.2,30
Schijndel,3.299999952316284,3.8,4.3,5
Damle,3.299999952316284,4.9,3.5,5
Sun,3.299999952316284,3.6,2.5,8
Chattopadhyay,3.299999952316284,5.0,2.9,6
Kleinberg,3.5799999713897703,5.0,2.6,31
Kozen,3.5,4.4,3.6,31
Tardos,3.299999952316284,3.6,3.0,12
DeGaetano,3.5,4.3,3.3,8
Mahowald,3.649999976158142,3.9,2.2,8
Zhang,3.5666666825612388,5.0,4.0,18
Wagner,3.5,4.5,2.1,9
Sanders,3.3799999713897706,5.0,2.9,37
Thomas,3.3199999809265135,2.7,4.4,149
Wissink,3.299999952316284,3.4,3.3,296
McKee,3.5666666825612388,4.2,3.5,33
Denti,3.299999952316284,3.0,3.9,7
O'Donoghue,3.5666666825612388,4.6,3.3,28
Van Dover,3.5666666825612388,4.3,2.9,14
Matthias,3.299999952316284,4.5,3.5,22
Kreps,3.5,3.9,3.1,8
MacAusland,3.4333333174387612,3.5,3.9,16
McAusland,3.299999952316284,2.9,2.7,25
Roberts,3.5666666825612388,5.0,2.6,10
McCarthy,3.4333333174387612,3.1,2.6,42
Odom-Reed,3.299999952316284,2.0,4.3,16
Stewart-Harris,3.299999952316284,3.6,3.6,5
Carvell,3.299999952316284,4.4,2.4,7
Gaulke,3.5,3.2,3.6,33
Weil,3.299999952316284,3.2,3.6,35
Falk,3.299999952316284,3.0,4.4,44
Florea,3.299999952316284,4.5,3.9,7
Hutchens,3.299999952316284,4.4,2.7,19
Smith,3.4625000059604645,4.5,2.8,22
Litwin,3.299999952316284,3.4,3.1,9
Easley,3.5666666825612388,4.8,3.0,40
Mimno,3.299999952316284,4.0,3.6,6
Kirby,3.649999976158142,4.3,3.3,10
Ritz,3.140000009536743,2.8,3.8,59
Fisher,3.8000000715255737,4.6,2.8,11
Nussbaum,3.299999952316284,2.0,4.0,29
Ruina,3.299999952316284,2.9,3.5,58
Connelly,3.299999952316284,2.2,3.6,63
Delp,3.2399999618530275,4.4,3.5,38
Elek,3.0,4.5,2.6,65
Sjamaar,3.299999952316284,4.1,4.0,23
Strogatz,3.5666666825612388,4.6,2.9,49
Townsend,3.299999952316284,4.4,4.0,28
Dozier,3.299999952316284,3.3,3.1,43
Berest,3.199999968210856,2.8,3.4,36
Hubbard,3.7666666507720947,3.9,4.1,17
Healey,3.299999952316284,4.8,3.0,25
Vladimirsky,3.5666666825612388,3.9,4.1,18
Swartz,3.4333333174387612,4.0,3.0,5
Lewis,3.633333365122477,4.3,3.4,13
Harris,3.649999976158142,4.3,4.0,16
Saloff-Coste,3.299999952316284,2.6,3.6,16
Nadeau,3.299999952316284,4.6,2.9,40
Zywina,3.299999952316284,4.8,2.9,12
Clark,3.299999952316284,5.0,4.0,33
Benedek,3.299999952316284,4.3,1.9,55
Moseley,3.75,2.9,2.9,15
C. Monroe,3.299999952316284,2.6,3.4,7
Levitsky,3.299999952316284,4.0,2.5,99
Michael,3.299999952316284,2.5,4.3,25
Wolf,3.649999976158142,2.1,3.8,44
Callister,3.8888889418707953,3.5,2.0,121
Dai,3.149999976158142,4.4,3.9,141
Tripp,3.299999952316284,5.0,2.9,15
Evans,3.7666666507720947,4.3,2.3,31
Avery,3.299999952316284,3.6,3.7,62
Korzukhin,3.299999952316284,2.1,4.4,7
Shen,3.299999952316284,4.9,3.9,34
Mueller,3.6666666666666665,3.3,3.4,25
Liepe,3.5,4.5,3.5,22
Kim,3.800000047683716,3.3,4.4,15
Bazarov,3.299999952316284,3.4,4.3,10
Giambattista,3.4333333174387612,4.1,3.9,24
Case,3.5,4.6,3.6,28
Xu,3.4333333174387612,4.0,3.9,14
Arias,3.299999952316284,4.5,3.5,53
Bauerle,3.299999952316284,4.0,3.4,14
Segal,3.850000023841858,4.6,2.8,82
Gilovich,3.5,4.4,3.8,69
Park,3.299999952316284,2.6,2.7,8
McAdams (and others),3.299999952316284,4.4,1.6,16
Amigo-Silvestre,3.299999952316284,3.6,3.9,27
